<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MCH,20221024,72.6,72.6,70,70,15232
MCM,20221024,36.5,36.8,34.9,35.3,57896
MDF,20221024,10.4,10.4,10.4,10.4,100
MFS,20221024,26,26,24.8,25,8981
MGC,20221024,4.4,4.4,4,4.1,14400
MGG,20221024,33,33,33,33,100
MKP,20221024,26,26.8,26,26.8,5147
MLS,20221024,15.5,15.6,15.5,15.5,500
MML,20221024,44.7,45,44,45,5001
MNB,20221024,20.4,20.4,20.4,20.4,30600
MPC,20221024,19.4,19.4,17.8,18,72100
MSR,20221024,13.7,13.8,12.5,12.5,168581
MTG,20221024,3.6,3.6,3.1,3.3,3501
MTL,20221024,4.4,4.4,4.4,4.4,1200
MTP,20221024,9.5,9.5,9.5,9.5,1108
MTV,20221024,19.5,20,19.5,20,2301
MVC,20221024,6,6.4,6,6,25000
MVN,20221024,21.4,21.4,20.9,20.9,300
NAB,20221024,9.4,9.4,8.9,9,122931
NBT,20221024,14,14,14,14,100
NDC,20221024,133.9,133.9,133.9,133.9,1000
NDT,20221024,11.2,11.2,10,10,61600
NED,20221024,6,6,5.6,5.7,237600
NHV,20221024,42,43.2,42,43,3270
NS2,20221024,5.6,5.6,5.5,5.5,500
NSL,20221024,17.5,17.5,17.5,17.5,1
NTC,20221024,155,156,151.2,151.2,11410
NTW,20221024,18.4,18.4,17.5,17.5,200
NUE,20221024,9.1,9.5,9.1,9.5,200
NXT,20221024,16.4,17.2,16.4,16.8,20600
ODE,20221024,40.6,40.6,39.5,39.8,67400
OIL,20221024,10,10,9,9.1,1216021
PAS,20221024,6,6.3,5.6,5.7,1470868
PAT,20221024,95,101,95,96.7,116300
PBC,20221024,14.6,14.8,13.8,14.2,43251
PCF,20221024,3.5,3.5,3.4,3.4,4400
PCM,20221024,13.3,13.3,11.4,11.4,600
PDC,20221024,5,5,4.6,4.6,600
PDV,20221024,8.8,10.8,8.8,10,11500
PFL,20221024,4.9,5.2,4.3,4.5,431300
PGB,20221024,18.8,18.8,16.3,16.5,83645
PHP,20221024,15,15.4,14.8,15,20200
PHS,20221024,16.4,20.9,16.4,20.9,200
PLA,20221024,4,4,4,4,200
PMT,20221024,7.6,8.2,7.6,8.2,200
PNP,20221024,21,21,21,21,1
PNT,20221024,7.8,7.8,7.8,7.8,5000
POS,20221024,13,13,11.8,11.8,3200
POV,20221024,10.3,10.3,10.3,10.3,100
PPH,20221024,24.8,24.8,22.6,23.5,11300
PPT,20221024,21.8,21.8,21.5,21.7,47500
